Genotype	day	phase	value	n_batches
"DGRP336"	5	"Night sleep (ZT8-24)"	765.625	4
"DGRP336"	6	"Night sleep (ZT8-24)"	754.125	4
"DGRP409"	1	"Night sleep (ZT8-24)"	800.25	2
"DGRP409"	2	"Night sleep (ZT8-24)"	770.5	2
"DGRP409"	3	"Night sleep (ZT8-24)"	735.75	2
"DGRP409"	4	"Night sleep (ZT8-24)"	717	2
"DGRP409"	5	"Night sleep (ZT8-24)"	703.5	2
"DGRP409"	6	"Night sleep (ZT8-24)"	707.75	2
"DGRP808"	1	"Night sleep (ZT8-24)"	583.5	1
"DGRP808"	2	"Night sleep (ZT8-24)"	599.5	1
"DGRP808"	3	"Night sleep (ZT8-24)"	532.5	1
"DGRP808"	4	"Night sleep (ZT8-24)"	552	1
"DGRP808"	5	"Night sleep (ZT8-24)"	561.5	1
"DGRP808"	6	"Night sleep (ZT8-24)"	581	1
"DGRP703"	1	"Night sleep (ZT8-24)"	250	1
"DGRP703"	2	"Night sleep (ZT8-24)"	198	1
"DGRP703"	3	"Night sleep (ZT8-24)"	149	1
"DGRP703"	4	"Night sleep (ZT8-24)"	67	1
"DGRP703"	5	"Night sleep (ZT8-24)"	39	1
"DGRP703"	6	"Night sleep (ZT8-24)"	33	1
"DGRP716"	1	"Night sleep (ZT8-24)"	547	1
"DGRP716"	2	"Night sleep (ZT8-24)"	541	1
"DGRP716"	3	"Night sleep (ZT8-24)"	566	1
"DGRP716"	4	"Night sleep (ZT8-24)"	576	1
"DGRP716"	5	"Night sleep (ZT8-24)"	569	1
"DGRP716"	6	"Night sleep (ZT8-24)"	621	1
"DGRP787"	1	"Night sleep (ZT8-24)"	732	1
"DGRP787"	2	"Night sleep (ZT8-24)"	679	1
"DGRP787"	3	"Night sleep (ZT8-24)"	647	1
"DGRP787"	4	"Night sleep (ZT8-24)"	634	1
"DGRP787"	5	"Night sleep (ZT8-24)"	602	1
"DGRP787"	6	"Night sleep (ZT8-24)"	580	1
"DGRP737"	1	"Night sleep (ZT8-24)"	513	1
"DGRP737"	2	"Night sleep (ZT8-24)"	536	1
"DGRP737"	3	"Night sleep (ZT8-24)"	512	1
"DGRP737"	4	"Night sleep (ZT8-24)"	461	1
"DGRP737"	5	"Night sleep (ZT8-24)"	458	1
"DGRP737"	6	"Night sleep (ZT8-24)"	460	1
"DGRP837"	1	"Night sleep (ZT8-24)"	789.5	2
"DGRP837"	2	"Night sleep (ZT8-24)"	766	2
"DGRP837"	3	"Night sleep (ZT8-24)"	746	2
"DGRP837"	4	"Night sleep (ZT8-24)"	743	2
"DGRP837"	5	"Night sleep (ZT8-24)"	732	2
"DGRP837"	6	"Night sleep (ZT8-24)"	732.5	2
"DGRP890"	1	"Night sleep (ZT8-24)"	409.75	2
"DGRP890"	2	"Night sleep (ZT8-24)"	418.75	2
"DGRP890"	3	"Night sleep (ZT8-24)"	388.5	2
"DGRP890"	4	"Night sleep (ZT8-24)"	384.25	2
"DGRP890"	5	"Night sleep (ZT8-24)"	401	2
"DGRP890"	6	"Night sleep (ZT8-24)"	396.75	2
"DGRP907"	1	"Night sleep (ZT8-24)"	676.5	1
"DGRP907"	2	"Night sleep (ZT8-24)"	614	1
"DGRP907"	3	"Night sleep (ZT8-24)"	596.5	1
"DGRP907"	4	"Night sleep (ZT8-24)"	570	1
"DGRP907"	5	"Night sleep (ZT8-24)"	581	1
"DGRP907"	6	"Night sleep (ZT8-24)"	552	1
"DGRP908"	1	"Night sleep (ZT8-24)"	692.5	1
"DGRP908"	2	"Night sleep (ZT8-24)"	713	1
"DGRP908"	3	"Night sleep (ZT8-24)"	733	1
"DGRP908"	4	"Night sleep (ZT8-24)"	689.5	1
"DGRP908"	5	"Night sleep (ZT8-24)"	702	1
"DGRP908"	6	"Night sleep (ZT8-24)"	727	1
"DGRP595"	1	"Night sleep (ZT8-24)"	226	1
"DGRP595"	2	"Night sleep (ZT8-24)"	213	1
"DGRP595"	3	"Night sleep (ZT8-24)"	220	1
"DGRP595"	4	"Night sleep (ZT8-24)"	215	1
"DGRP595"	5	"Night sleep (ZT8-24)"	206	1
"DGRP595"	6	"Night sleep (ZT8-24)"	235	1
"DGRP596"	1	"Night sleep (ZT8-24)"	566	1
"DGRP596"	2	"Night sleep (ZT8-24)"	463.5	1
"DGRP596"	3	"Night sleep (ZT8-24)"	380	1
"DGRP596"	4	"Night sleep (ZT8-24)"	389.5	1
"DGRP596"	5	"Night sleep (ZT8-24)"	382.5	1
"DGRP596"	6	"Night sleep (ZT8-24)"	364	1
"DGRP531"	1	"Night sleep (ZT8-24)"	638	1
"DGRP531"	2	"Night sleep (ZT8-24)"	669.5	1
"DGRP531"	3	"Night sleep (ZT8-24)"	666	1
"DGRP531"	4	"Night sleep (ZT8-24)"	714.5	1
"DGRP531"	5	"Night sleep (ZT8-24)"	762	1
"DGRP531"	6	"Night sleep (ZT8-24)"	769.5	1
"DGRP492"	1	"Night sleep (ZT8-24)"	735.666666666667	3
"DGRP492"	2	"Night sleep (ZT8-24)"	661.666666666667	3
"DGRP492"	3	"Night sleep (ZT8-24)"	624.5	3
"DGRP492"	4	"Night sleep (ZT8-24)"	628.166666666667	3
"DGRP492"	5	"Night sleep (ZT8-24)"	666	3
"DGRP492"	6	"Night sleep (ZT8-24)"	673	3
"DGRP161"	1	"Night sleep (ZT8-24)"	855	2
"DGRP161"	2	"Night sleep (ZT8-24)"	858	2
"DGRP161"	3	"Night sleep (ZT8-24)"	818	2
"DGRP161"	4	"Night sleep (ZT8-24)"	791.5	2
"DGRP161"	5	"Night sleep (ZT8-24)"	805.25	2
"DGRP161"	6	"Night sleep (ZT8-24)"	779.5	2
