model	resampling	bin	zt	median	q025	q975
"moving_centered_shape"	"within_cell_whole_fly_refit_batch_and_PCA"	20	9.75	0.294275468686932	0.25387424941071	0.325778657060973
"moving_centered_shape"	"within_cell_whole_fly_refit_batch_and_PCA"	21	10.25	0.285315212604626	0.229998788958058	0.31998803226315
"moving_centered_shape"	"within_cell_whole_fly_refit_batch_and_PCA"	22	10.75	0.257043070991476	0.199845787956528	0.290028418169466
"moving_centered_shape"	"within_cell_whole_fly_refit_batch_and_PCA"	23	11.25	0.20937149278745	0.169112550946341	0.236884869579465
"moving_centered_shape"	"within_cell_whole_fly_refit_batch_and_PCA"	24	11.75	0.152653269705188	0.126461816371969	0.176330189949242
"moving_centered_shape"	"within_cell_whole_fly_refit_batch_and_PCA"	25	12.25	0.113962731027661	0.0957816299862566	0.132664601382975
"moving_centered_shape"	"within_cell_whole_fly_refit_batch_and_PCA"	26	12.75	0.0868547074406833	0.072812801999051	0.101363438990391
"moving_centered_shape"	"within_cell_whole_fly_refit_batch_and_PCA"	27	13.25	0.0668221012036942	0.0515921894051704	0.0812337241321695
"moving_centered_shape"	"within_cell_whole_fly_refit_batch_and_PCA"	28	13.75	0.0453294101555472	0.031412323291396	0.0604970702248113
"moving_centered_shape"	"within_cell_whole_fly_refit_batch_and_PCA"	29	14.25	0.0370333271124677	0.0236367451726552	0.0582778485871186
"moving_centered_shape"	"within_cell_whole_fly_refit_batch_and_PCA"	30	14.75	0.0273846433796124	0.0119041087741951	0.0511479407802172
"moving_centered_shape"	"within_cell_whole_fly_refit_batch_and_PCA"	31	15.25	0.0222088043485287	0.00467751857171975	0.0416318847622376
"moving_centered_shape"	"within_cell_whole_fly_refit_batch_and_PCA"	32	15.75	0.0223041488484761	0.00603681845155146	0.0422771218611325
"moving_centered_shape"	"within_cell_whole_fly_refit_batch_and_PCA"	33	16.25	0.024029300117489	0.00558014932561128	0.0455846756135473
"moving_centered_shape"	"within_cell_whole_fly_refit_batch_and_PCA"	34	16.75	0.0233898127803139	-0.000771887170877384	0.0473325522025461
"moving_centered_shape"	"within_cell_whole_fly_refit_batch_and_PCA"	35	17.25	0.0222321315511022	-0.00217994005282387	0.0529906100771953
"moving_centered_shape"	"within_cell_whole_fly_refit_batch_and_PCA"	36	17.75	0.0131892049614702	-0.0145265146634926	0.048057649722021
"moving_centered_shape"	"within_cell_whole_fly_refit_batch_and_PCA"	37	18.25	0.0188901692938795	-0.00901843884648026	0.0502009658885718
"moving_centered_shape"	"within_cell_whole_fly_refit_batch_and_PCA"	38	18.75	0.0208796751499056	-0.00267708032462882	0.042800886563667
"moving_centered_shape"	"within_cell_whole_fly_refit_batch_and_PCA"	39	19.25	0.0226491351546326	-3.01826593479105e-05	0.0443820696681445
"moving_centered_shape"	"within_cell_whole_fly_refit_batch_and_PCA"	40	19.75	0.0179336561881901	-0.00522584758065942	0.0440409700498406
"moving_centered_shape"	"within_cell_whole_fly_refit_batch_and_PCA"	41	20.25	0.00531487954700907	-0.0225596108668808	0.0352163967152477
"moving_centered_shape"	"within_cell_whole_fly_refit_batch_and_PCA"	42	20.75	-0.00522137622735649	-0.0393276218500434	0.0330076839833805
"moving_centered_shape"	"within_cell_whole_fly_refit_batch_and_PCA"	43	21.25	-0.00636484366876747	-0.0387022383258606	0.031281724752167
"moving_centered_shape"	"within_cell_whole_fly_refit_batch_and_PCA"	44	21.75	-0.0151567400629657	-0.0475209599702558	0.0187758640598181
"moving_centered_shape"	"within_cell_whole_fly_refit_batch_and_PCA"	45	22.25	-0.0212744155780066	-0.0483667385293714	0.00486579262186127
"moving_centered_shape"	"within_cell_whole_fly_refit_batch_and_PCA"	46	22.75	-0.0281180356451743	-0.0499797201603384	-0.00984810613879837
"moving_centered_shape"	"within_cell_whole_fly_refit_batch_and_PCA"	47	23.25	-0.119521013645225	-0.139684986949163	-0.0985455441035916
"moving_centered_shape"	"within_cell_whole_fly_refit_batch_and_PCA"	48	23.75	-0.174952044757566	-0.212034137458823	-0.149314824756101
