deleted_line	beta	se	p	trait	SNP	full_gls_beta	full_gls_p	delta_neglogp
"line_399"	-112.878473734761	26.0352090930977	1.45357456195614e-05	"TotalSleep"	"2L_10170542"	-112.124005951107	1.64804011500952e-05	0.0545304646019513
"line_40"	-112.353013546959	26.037393892195	1.59556878667938e-05	"TotalSleep"	"2L_10170542"	-112.124005951107	1.64804011500952e-05	0.0140522468354858
"line_405"	-112.481331493955	26.0323771932156	1.55447318737725e-05	"TotalSleep"	"2L_10170542"	-112.124005951107	1.64804011500952e-05	0.0253845432350204
"line_406"	-112.355350341187	26.0322324862818	1.58875486540342e-05	"TotalSleep"	"2L_10170542"	-112.124005951107	1.64804011500952e-05	0.015910885121226
"line_409"	-112.128049583805	26.0275247368391	1.64695248988433e-05	"TotalSleep"	"2L_10170542"	-112.124005951107	1.64804011500952e-05	0.000286707537188846
"line_41"	-112.048007152998	26.0460324549718	1.69322712669673e-05	"TotalSleep"	"2L_10170542"	-112.124005951107	1.64804011500952e-05	-0.0117474388937318
"line_426"	-111.87702405885	26.0306451426269	1.72426476345935e-05	"TotalSleep"	"2L_10170542"	-112.124005951107	1.64804011500952e-05	-0.0196361745140434
"line_427"	-109.94815835024	26.5686867848048	3.49948264608272e-05	"TotalSleep"	"2L_10170542"	-112.124005951107	1.64804011500952e-05	-0.327036065521678
"line_437"	-112.693725783255	26.0454411031712	1.51283012157078e-05	"TotalSleep"	"2L_10170542"	-112.124005951107	1.64804011500952e-05	0.0371776156202825
"line_439"	-111.864029461729	26.0448683662008	1.7465343707619e-05	"TotalSleep"	"2L_10170542"	-112.124005951107	1.64804011500952e-05	-0.0252093580470349
"line_440"	-113.286790306519	26.7326746514538	2.25755983413924e-05	"TotalSleep"	"2L_10170542"	-112.124005951107	1.64804011500952e-05	-0.136671490966549
"line_441"	-111.709088100141	26.0419217388882	1.79005708531236e-05	"TotalSleep"	"2L_10170542"	-112.124005951107	1.64804011500952e-05	-0.0358991022779547
"line_443"	-113.064233929307	26.0351972959082	1.40713154538523e-05	"TotalSleep"	"2L_10170542"	-112.124005951107	1.64804011500952e-05	0.0686330794114891
"line_45"	-111.385516225976	26.0478848782724	1.90125162657353e-05	"TotalSleep"	"2L_10170542"	-112.124005951107	1.64804011500952e-05	-0.0620718199433048
"line_461"	-111.43130139269	26.0376574148239	1.87211968435845e-05	"TotalSleep"	"2L_10170542"	-112.124005951107	1.64804011500952e-05	-0.0553658310082659
"line_48"	-112.015291386992	26.0409217026521	1.69637932433685e-05	"TotalSleep"	"2L_10170542"	-112.124005951107	1.64804011500952e-05	-0.0125551919207538
"line_486"	-113.266277868746	26.0431582553611	1.36650035673181e-05	"TotalSleep"	"2L_10170542"	-112.124005951107	1.64804011500952e-05	0.0813580292654317
"line_491"	-111.267370860488	26.0479639416554	1.94045787381254e-05	"TotalSleep"	"2L_10170542"	-112.124005951107	1.64804011500952e-05	-0.0709364402343304
"line_492"	-111.020521118377	26.0403902095365	2.01342344839836e-05	"TotalSleep"	"2L_10170542"	-112.124005951107	1.64804011500952e-05	-0.0869673434443241
"line_502"	-112.124502127776	26.0275835329281	1.64803991776197e-05	"TotalSleep"	"2L_10170542"	-112.124005951107	1.64804011500952e-05	5.19790299691181e-08
"line_505"	-111.449797073146	26.0410444700686	1.8708280083338e-05	"TotalSleep"	"2L_10170542"	-112.124005951107	1.64804011500952e-05	-0.0550660844778621
"line_509"	-113.307614215474	26.0564521966585	1.37044677211502e-05	"TotalSleep"	"2L_10170542"	-112.124005951107	1.64804011500952e-05	0.0801056063786669
"line_513"	-113.123909446774	26.0423981082006	1.40015984216146e-05	"TotalSleep"	"2L_10170542"	-112.124005951107	1.64804011500952e-05	0.0707901611291266
"line_517"	-122.560034937584	26.5759060322615	3.9939425450104e-06	"TotalSleep"	"2L_10170542"	-112.124005951107	1.64804011500952e-05	0.615565965646579
"line_528"	-112.137453934558	26.0275455443187	1.64429035856558e-05	"TotalSleep"	"2L_10170542"	-112.124005951107	1.64804011500952e-05	0.000989268391678344
"line_531"	-111.024918096578	26.0415655412928	2.01363597998414e-05	"TotalSleep"	"2L_10170542"	-112.124005951107	1.64804011500952e-05	-0.0870131839871124
